Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",-179.7,20077.0,23.626,293.17,47.888,196.44,-55684.0,-52.418,-95594.0,-139.7,90.0,250.0,-0.33463
Methyl-Docosanoat,-215.83,22866.0,28.548,292.85,47.764,237.36,-55766.0,-52.617,-103920.0,-157.96,90.0,250.0,-0.34373
Methyl erucate,-209.88,22415.0,27.746,296.13,48.96,230.69,-55036.0,-50.768,-102590.0,-154.48,90.0,250.0,-0.34333
"cis-13,16-Docosadienoic acid methyl ester",-221.33,23276.0,29.332,302.62,51.901,243.88,-53109.0,-46.331,-104960.0,-158.73,90.0,250.0,-0.34735
Methyl tricosanoate,-244.92,25138.0,32.542,304.79,52.756,270.57,-52641.0,-45.177,-110760.0,-170.9,90.0,250.0,-0.35117
Methyl lignocerate,-268.81,27086.0,35.802,316.86,58.383,297.67,-49576.0,-38.117,-117110.0,-182.59,90.0,250.0,-0.35571
Methyl nervonate,-238.63,24717.0,31.716,322.35,60.824,263.7,-48476.0,-35.495,-109750.0,-165.92,90.0,250.0,-0.35357
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",-254.38,26065.0,33.819,319.4,58.269,281.19,-50102.0,-38.644,-114610.0,-176.32,90.0,250.0,-0.35423
1-Pentanol,-94.277,9563.2,12.567,107.42,30.297,104.49,-39747.0,-58.534,-41568.0,-63.43,90.0,250.0,-0.27073
1-Heptanol,-94.776,10482.0,12.424,137.3,31.296,103.3,-44757.0,-63.136,-49642.0,-75.782,90.0,250.0,-0.26315
1-Nonanol,-102.78,11736.0,13.4,164.81,32.69,111.42,-48786.0,-65.485,-57121.0,-86.355,90.0,250.0,-0.2707
1-Decanol,-110.09,12536.0,14.369,177.78,33.573,119.47,-50358.0,-65.767,-60845.0,-91.632,90.0,250.0,-0.27949
1-Undecanol,-115.3,13226.0,15.031,189.98,34.235,124.97,-52091.0,-66.568,-64585.0,-96.96,90.0,250.0,-0.28418
"2-Pentanone, 4-methyl-",-87.74,7768.2,12.121,74.618,34.039,100.78,-29542.0,-39.039,-27992.0,-34.677,90.0,250.0,-0.29183
2-Hexanone,-83.543,7984.0,11.353,84.79,32.681,94.393,-32595.0,-45.156,-32104.0,-43.792,90.0,250.0,-0.27544
2-Decanone,-84.659,9864.6,11.038,146.14,33.572,91.775,-43539.0,-57.932,-48691.0,-71.124,90.0,250.0,-0.25293
2-Undecanone,-87.46,10424.0,11.353,160.19,34.118,94.391,-45763.0,-59.697,-52389.0,-76.378,90.0,250.0,-0.25463
2-Dodecanone,-93.783,11165.0,12.179,173.82,34.919,101.26,-47570.0,-60.519,-56058.0,-81.55,90.0,250.0,-0.26377
2-Tridecanone,-99.587,11880.0,12.93,186.68,35.63,107.51,-49341.0,-61.396,-59735.0,-86.771,90.0,250.0,-0.27093
2-Pentadecanone,-113.71,13460.0,14.788,210.88,37.177,122.95,-52398.0,-62.345,-67261.0,-97.674,90.0,250.0,-0.28681
Propiophenone,-78.046,9980.8,10.062,180.09,37.901,83.664,-45065.0,-53.521,-52603.0,-72.062,90.0,250.0,-0.24531
Butyrophenone,-82.548,10498.0,10.65,188.8,38.258,88.551,-46377.0,-54.486,-55126.0,-75.795,90.0,250.0,-0.25262
Valerophenone,-86.588,11086.0,11.155,201.09,38.805,92.747,-48188.0,-55.704,-58491.0,-80.458,90.0,250.0,-0.25775
Hexanophenone,-90.694,11689.0,11.666,213.07,39.295,96.999,-50022.0,-56.971,-61959.0,-85.28,90.0,250.0,-0.26247
Heptanophenone,-98.629,12516.0,12.724,225.01,40.173,105.79,-51362.0,-57.195,-65644.0,-90.636,90.0,250.0,-0.27411
Octanophenone,-102.74,13124.0,13.235,236.21,40.648,110.04,-53069.0,-58.281,-69158.0,-95.51,90.0,250.0,-0.27786
